Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-02-23,91.07,91.13,89.9,90.19,0,91.83895474709928,90.3225,88.80604525290073,46.228162580598315,91.13,89.9,80.38,90.9,91.74,94.61
2010-02-24,90.18,90.36,89.46,89.68,0,91.79452022587319,90.268,88.74147977412682,42.33019045284401,90.36,89.46,80.38,90.9,91.74,94.61
2010-02-25,89.67,89.73,88.8,89.24,0,91.79506259719102,90.2075,88.61993740280897,39.25485392438253,89.73,88.8,80.38,90.9,91.74,94.61
2010-02-26,89.25,89.4,88.74,88.96,0,91.75307693883724,90.1105,88.46792306116276,37.393093239604944,89.4,88.74,80.38,90.9,91.74,94.61
2010-02-28,88.86,89.2,88.81,89.1,0,91.77322617534594,90.0825,88.39177382465405,38.95212768029163,89.2,88.81,80.38,90.9,91.74,94.61
2010-03-01,89.09,89.48,88.98,89.35,0,91.76841185427855,90.088,88.40758814572143,41.74200834905718,89.48,88.98,80.38,90.9,91.74,94.61
2010-03-02,89.36,89.37,88.47,88.71,0,91.81368268828257,90.0565,88.29931731171743,37.071349567602105,89.37,88.47,80.38,90.9,91.74,94.61
2010-03-03,88.72,88.99,88.32,88.45,0,91.88181195636739,90.00999999999999,88.1381880436326,35.341274054678905,88.99,88.32,80.38,90.9,91.74,94.61
2010-03-04,88.46,89.35,88.14,89.24,0,91.88419282476778,89.98599999999999,88.0878071752322,43.90716395094986,89.35,88.14,80.38,90.9,91.74,94.61
2010-03-05,89.25,90.59,89.2,90.28,0,91.906972660161,90.005,88.10302733983899,52.77655739273434,90.59,89.2,80.38,90.9,91.74,94.61
2010-03-07,90.4,90.68,90.34,90.42,0,91.94659941875744,90.04549999999999,88.14440058124254,53.834788994436444,90.68,90.34,80.38,90.9,91.74,94.61
2010-03-08,90.41,90.49,89.88,90.03,0,91.94930272516636,90.04849999999999,88.14769727483362,50.44361158729923,90.49,89.88,80.38,90.9,91.74,94.61
2010-03-09,90.02,90.11,89.63,90.01,0,91.94178708357445,90.0415,88.14121291642554,50.26873345348541,90.11,89.63,80.38,90.9,91.74,94.61
2010-03-10,90.0,90.82,89.94,90.36,0,91.96711413414894,90.0625,88.15788586585106,53.31869957360433,90.82,89.94,80.38,90.9,91.74,94.61
2010-03-11,90.37,90.74,90.31,90.62,0,91.99467370105057,90.0775,88.16032629894943,55.50191601645268,90.74,90.31,80.38,90.9,91.74,94.61
2010-03-12,90.61,91.08,90.17,90.55,0,91.94597954714897,90.0575,88.16902045285104,54.759372878742745,91.08,90.17,80.38,90.9,91.74,94.61
2010-03-14,90.84,90.84,90.54,90.65,0,91.7518636310473,90.003,88.2541363689527,55.67176349611516,90.84,90.54,80.38,90.9,91.74,94.61
2010-03-15,90.64,90.8,90.03,90.09,0,91.53752957631544,89.9315,88.32547042368456,49.63489132624641,90.8,90.03,80.38,90.9,91.74,94.61
2010-03-16,90.08,90.73,89.98,90.15,0,91.26514913982857,89.857,88.44885086017143,50.25726974793863,90.73,89.98,80.38,90.9,91.74,94.61
2010-03-17,90.16,90.71,90.11,90.2,0,91.12150755255941,89.814,88.50649244744058,50.80286179300782,90.71,90.11,80.38,90.9,91.74,94.61
2010-03-18,90.19,90.8,89.76,90.46,0,91.15566979336225,89.8275,88.49933020663775,53.6498000569444,90.8,89.76,80.38,90.9,91.74,94.61
2010-03-19,90.45,90.72,90.33,90.54,0,91.23205021941901,89.8705,88.508949780581,54.521851897295726,90.72,90.33,80.38,90.9,91.74,94.61
2010-03-21,90.49,90.56,90.41,90.47,0,91.2851681344164,89.932,88.57883186558361,53.572074367928266,90.56,90.41,80.38,90.9,91.74,94.61
2010-03-22,90.48,90.77,89.83,90.31,0,91.28498006596756,89.9995,88.71401993403244,51.369341090578764,90.77,89.83,80.38,90.9,91.74,94.61
2010-03-23,90.3,90.57,90.13,90.48,0,91.30047849007195,90.0685,88.83652150992805,53.554488895578395,90.57,90.13,80.38,90.9,91.74,94.61
2010-03-24,90.47,92.4,90.47,91.79,0,91.58609987102321,90.1905,88.79490012897679,66.16946829194131,92.4,90.47,80.38,90.9,91.74,94.61
2010-03-25,91.78,92.95,91.78,92.48,0,91.93320590656451,90.37899999999999,88.82479409343547,70.68577740410778,92.95,91.78,80.38,90.9,91.74,94.61
2010-03-26,92.49,92.89,92.3,92.49,0,92.12999838605471,90.581,89.0320016139453,70.74672896935938,92.89,92.3,80.38,90.9,91.74,94.61
2010-03-28,92.44,92.71,92.35,92.68,0,92.42708601929536,90.75300000000001,89.07891398070467,71.94050964527393,92.71,92.35,80.38,90.9,91.74,94.61
2010-03-29,92.69,92.79,92.12,92.18,0,92.61689343941352,90.84800000000001,89.07910656058651,64.48295987406158,92.79,92.12,80.38,90.9,91.74,94.61
2010-03-30,92.19,93.5,92.18,93.47,0,93.09198248857125,91.0005,88.90901751142876,72.42514885056228,93.5,92.18,80.38,90.9,91.74,94.61
2010-03-31,93.48,93.64,92.85,93.4,0,93.45458001391337,91.16900000000001,88.88341998608665,71.49093258177932,93.64,92.85,80.38,90.9,91.74,94.61
