Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-06-22,105.28,105.62,104.16,104.75,0,108.64070645062547,106.65950000000001,104.67829354937454,28.196780850759964,105.62,104.16,104.58
2000-06-23,104.76,104.81,103.95,104.8,0,108.5258277211924,106.4965,104.4671722788076,29.1720043122517,104.81,103.95,104.58
2000-06-25,104.72,104.72,104.49,104.58,0,108.31133507305366,106.3075,104.30366492694635,27.408094300883775,104.72,104.49,104.58
2000-06-26,104.57,105.81,104.32,105.68,0,108.02849104232348,106.1865,104.34450895767651,45.23784819418496,105.81,104.32,104.58
2000-06-27,105.67,105.94,105.29,105.55,0,107.66740390290308,106.0545,104.44159609709693,43.86656813571721,105.94,105.29,104.58
2000-06-28,105.54,105.84,104.9,104.97,0,107.46759546340161,105.929,104.3904045365984,38.28986662545012,105.84,104.9,104.58
2000-06-29,104.96,105.71,104.42,105.57,0,107.44510973046944,105.90149999999998,104.35789026953053,45.94553718671151,105.71,104.42,104.58
2000-06-30,105.58,106.39,104.79,106.03,0,107.4584384303983,105.9155,104.37256156960169,50.96779958656474,106.39,104.79,104.58
2000-07-02,106.08,106.12,105.89,105.98,0,107.44229680062092,105.90449999999998,104.36670319937905,50.419443400679924,106.12,105.89,104.58
2000-07-03,105.97,106.49,105.45,106.32,0,107.31498620683095,105.86500000000001,104.41501379316907,54.040503407349235,106.49,105.45,104.58
2000-07-04,106.31,106.55,105.85,106.12,0,107.18779667105723,105.82249999999999,104.45720332894275,51.650836100717754,106.55,105.85,104.58
2000-07-05,106.13,107.22,105.88,107.07,0,107.22887651565911,105.832,104.43512348434088,60.56998294042994,107.22,105.88,104.58
2000-07-06,107.06,107.7,106.86,107.67,0,107.4263589411337,105.873,104.31964105886631,64.96579342554176,107.7,106.86,104.58
2000-07-07,107.66,107.98,107.3,107.94,0,107.71181458832793,105.9395,104.16718541167207,66.7615597716499,107.98,107.3,104.58
2000-07-09,107.9,107.92,107.39,107.41,0,107.85219340893336,105.98299999999999,104.11380659106662,60.23474338523006,107.92,107.39,104.58
2000-07-10,107.4,107.44,106.69,107.06,0,107.93239933277721,106.01400000000001,104.09560066722281,56.31906330557182,107.44,106.69,104.58
2000-07-11,107.07,107.43,106.65,107.19,0,108.04515624384774,106.06099999999999,104.07684375615224,57.42610384541301,107.43,106.65,104.58
2000-07-12,107.2,108.51,107.14,108.24,0,108.37733811531996,106.1845,103.99166188468004,65.11611628701777,108.51,107.14,104.58
