Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1
2016-06-12,106.81,106.859,106.069,106.152,0,112.01320104563862,108.74845,105.48369895436139,35.371384257261,106.859,106.069,116.95,111.749,111.248,121.248
2016-06-13,106.153,106.578,105.735,106.018,0,111.95282562848826,108.54435000000001,105.13587437151176,34.75177923010281,106.578,105.735,116.95,111.749,111.248,121.248
2016-06-14,106.018,106.306,105.626,106.194,0,111.8628701701933,108.36215,104.8614298298067,36.32937077898742,106.306,105.626,116.95,111.749,111.248,121.248
2016-06-15,106.194,106.397,104.527,104.726,0,111.93296564008327,108.12895,104.32493435991674,29.847112988593565,106.397,104.527,116.95,111.749,111.248,121.248
2016-06-16,104.726,104.828,103.55,104.399,0,111.89619915874866,107.8546,103.81300084125135,28.62200369003982,104.828,103.55,116.95,111.749,111.248,121.248
2016-06-17,104.398,104.454,104.083,104.125,0,111.83255010571045,107.57565,103.31874989428954,27.599735334168074,104.454,104.083,116.95,111.749,111.248,121.248
2016-06-19,104.679,104.842,104.41,104.553,0,111.61813906984503,107.30805000000001,102.99796093015499,31.703132538735517,104.842,104.41,116.95,111.749,111.248,121.248
2016-06-20,104.553,104.8,103.585,103.987,0,111.31516353901695,106.99505000000002,102.67493646098309,29.335298488609965,104.8,103.585,116.95,111.749,111.248,121.248
2016-06-21,103.988,105.054,103.977,104.445,0,110.70735591778303,106.66720000000001,102.62704408221698,33.65348065381049,105.054,103.977,116.95,111.749,111.248,121.248
2016-06-22,104.444,104.971,104.313,104.639,0,109.85882696479773,106.33444999999999,102.81007303520225,35.45275374414881,104.971,104.313,116.95,111.749,111.248,121.248
2016-06-23,104.64,106.812,98.979,100.801,0,109.57952475961656,105.84460000000001,102.10967524038347,22.469940932251873,106.812,98.979,116.95,111.749,111.248,121.248
2016-06-24,100.811,103.242,100.494,102.144,0,109.28445928980254,105.5041,101.72374071019745,31.871566487334135,103.242,100.494,116.95,111.749,111.248,121.248
2016-06-26,101.508,102.471,101.497,101.9,0,108.92492800860165,105.1575,101.39007199139834,31.132895824438165,102.471,101.497,116.95,111.749,111.248,121.248
2016-06-27,101.906,102.205,101.396,102.054,0,108.88452847167046,104.93695,100.98937152832953,32.200933888685654,102.205,101.396,116.95,111.749,111.248,121.248
2016-06-28,102.052,102.84,101.776,102.409,0,108.67458938277909,104.70509999999999,100.73561061722089,34.71446459512872,102.84,101.776,116.95,111.749,111.248,121.248
2016-06-29,102.408,103.013,102.172,102.76,0,108.23610551110156,104.45215,100.66819448889845,37.19375148236478,103.013,102.172,116.95,111.749,111.248,121.248
2016-06-30,102.759,103.396,102.361,102.826,0,107.85915508866835,104.23344999999999,100.60774491133164,37.67305121018566,103.396,102.361,116.95,111.749,111.248,121.248
2016-07-01,102.828,102.926,102.442,102.498,0,107.55228190403608,104.02685,100.50141809596391,36.19474486741612,102.926,102.442,116.95,111.749,111.248,121.248
2016-07-03,102.598,102.801,102.418,102.783,0,107.10530527717731,103.81685,100.5283947228227,38.4546217981458,102.801,102.418,116.95,111.749,111.248,121.248
2016-07-04,102.782,102.792,102.004,102.167,0,106.61234343587981,103.579,100.54565656412018,35.52580128907391,102.792,102.004,116.95,111.749,111.248,121.248
2016-07-05,102.167,102.171,100.579,100.895,0,106.32306158998647,103.31615,100.30923841001352,30.38030342536898,102.171,100.579,116.95,111.749,111.248,121.248
2016-07-06,100.898,101.462,100.199,100.94,0,105.96963293831321,103.06224999999999,100.15486706168677,30.76236716055186,101.462,100.199,116.95,111.749,111.248,121.248
2016-07-07,100.938,101.228,100.253,100.372,0,105.52793002568117,102.77115,100.01436997431884,28.626874283781902,101.228,100.253,116.95,111.749,111.248,121.248
2016-07-08,100.371,101.277,99.991,100.505,0,105.33218714870122,102.56009999999999,99.78801285129876,29.854778402118868,101.277,99.991,116.95,111.749,111.248,121.248
2016-07-10,100.613,100.873,100.532,100.704,0,105.1250131993745,102.37535,99.6256868006255,31.74685420187332,100.873,100.532,116.95,111.749,111.248,121.248
2016-07-11,100.709,103.284,100.682,103.135,0,104.9817877458808,102.32585,99.66991225411921,49.62346842696431,103.284,100.682,116.95,111.749,111.248,121.248
2016-07-12,103.136,104.985,102.882,104.48,0,104.96605798408204,102.3222,99.67834201591795,56.42385243201434,104.985,102.882,116.95,111.749,111.248,121.248
2016-07-13,104.478,104.861,103.899,104.636,0,105.09366356513516,102.35465,99.61563643486485,57.146421334853535,104.861,103.899,116.95,111.749,111.248,121.248
2016-07-14,104.637,106.314,104.532,106.083,0,105.49948502869299,102.43655000000001,99.37361497130703,63.23593459070031,106.314,104.532,116.95,111.749,111.248,121.248
2016-07-15,106.081,106.292,104.625,104.825,0,105.53648205671502,102.44585,99.35521794328497,55.81070650827009,106.292,104.625,116.95,111.749,111.248,121.248
2016-07-17,105.32,106.009,105.313,105.548,0,105.95584832207722,102.68320000000001,99.41055167792281,58.80460369187429,106.009,105.313,116.95,111.749,111.248,121.248
2016-07-18,105.546,106.327,105.27,105.882,0,106.4139422030326,102.87010000000001,99.32625779696741,60.1478762626808,106.327,105.27,116.95,111.749,111.248,121.248
2016-07-19,105.881,106.529,105.646,105.969,0,106.83196288178868,103.07355,99.31513711821131,60.50909479140924,106.529,105.646,116.95,111.749,111.248,121.248
2016-07-20,105.971,107.49,105.913,107.109,0,107.43959697930937,103.32630000000002,99.21300302069066,64.98739547461986,107.49,105.913,116.95,111.749,111.248,121.248
2016-07-21,107.108,107.264,105.421,105.871,0,107.73333072215354,103.4994,99.26546927784645,57.377816092711576,107.264,105.421,116.95,111.749,111.248,121.248
2016-07-22,105.866,106.398,105.639,106.061,0,108.0256676957813,103.66445000000002,99.30323230421874,58.18702422094238,106.398,105.639,116.95,111.749,111.248,121.248
2016-07-24,106.12,106.721,106.087,106.3,0,108.32681997116028,103.83815,99.34948002883972,59.23544642894892,106.721,106.087,116.95,111.749,111.248,121.248
2016-07-25,106.299,106.414,104.624,104.818,0,108.41813419688019,103.95415,99.49016580311981,50.73959151060841,106.414,104.624,116.95,111.749,111.248,121.248
2016-07-26,104.819,106.54,103.99,105.977,0,108.6270755106516,104.11385,99.6006244893484,56.048650508686286,106.54,103.99,116.95,111.749,111.248,121.248
2016-07-27,105.983,106.131,104.637,104.853,0,108.68078827872253,104.24814999999998,99.81551172127743,50.37805701912115,106.131,104.637,116.95,111.749,111.248,121.248
2016-07-28,104.851,105.608,102.696,103.496,0,108.55492755156432,104.37819999999999,100.20147244843567,44.52163125470041,105.608,102.696,116.95,111.749,111.248,121.248
2016-07-29,103.501,103.969,101.968,102.03,0,108.45410980751733,104.4327,100.41129019248267,39.21754649962793,103.969,101.968,116.95,111.749,111.248,121.248
2016-07-31,102.268,102.682,102.004,102.498,0,108.22373798254324,104.53900000000002,100.85426201745679,41.609105403622586,102.682,102.004,116.95,111.749,111.248,121.248
2016-08-01,102.5,102.828,102.115,102.47,0,107.97494422655772,104.63725,101.29955577344226,41.50388777797359,102.828,102.115,116.95,111.749,111.248,121.248
2016-08-02,102.469,102.582,100.678,100.839,0,107.95024711720053,104.644,101.33775288279948,35.82157191367595,102.582,100.678,116.95,111.749,111.248,121.248
2016-08-03,100.84,101.567,100.747,101.204,0,108.1258974552516,104.54745,100.96900254474839,37.871556754592426,101.567,100.747,116.95,111.749,111.248,121.248
2016-08-04,101.202,101.665,100.998,101.173,0,108.25151809061731,104.3821,100.51268190938268,37.761234970657334,101.665,100.998,116.95,111.749,111.248,121.248
2016-08-05,101.173,102.058,100.871,101.803,0,108.26656422962591,104.24044999999998,100.21433577037405,41.4914267855031,102.058,100.871,116.95,111.749,111.248,121.248
2016-08-07,101.977,102.258,101.859,102.011,0,108.08146064998799,104.03685,99.99223935001201,42.712213265885936,102.258,101.859,116.95,111.749,111.248,121.248
2016-08-08,102.012,102.655,101.956,102.338,0,108.00517709451847,103.9125,99.81982290548152,44.66688757098824,102.655,101.956,116.95,111.749,111.248,121.248
2016-08-09,102.339,102.509,101.156,101.351,0,107.86812021475319,103.70264999999999,99.53717978524679,40.207515759239655,102.509,101.156,116.95,111.749,111.248,121.248
2016-08-10,101.352,101.555,100.966,101.454,0,107.63052009846261,103.48125,99.3319799015374,40.870943605909254,101.555,100.966,116.95,111.749,111.248,121.248
2016-08-11,101.454,102.202,101.167,102.011,0,107.31501612084827,103.28335,99.25168387915173,44.45980862657012,102.202,101.167,116.95,111.749,111.248,121.248
2016-08-12,102.011,102.269,100.831,101.269,0,106.70587248748015,102.99135000000001,99.27682751251987,40.89859551301805,102.269,100.831,116.95,111.749,111.248,121.248
2016-08-14,101.143,101.451,101.115,101.26,0,106.30002333853,102.76079999999999,99.22157666146998,40.85584829121074,101.451,101.115,116.95,111.749,111.248,121.248
2016-08-15,101.259,101.336,100.351,100.474,0,105.81035116855325,102.48145,99.15254883144674,37.19908784214673,101.336,100.351,116.95,111.749,111.248,121.248
2016-08-16,100.474,100.678,99.54,100.605,0,105.11991754920756,102.19669999999999,99.27348245079243,38.1920215431487,100.678,99.54,116.95,111.749,111.248,121.248
2016-08-17,100.606,101.163,99.644,99.93,0,104.77357957494378,101.95230000000001,99.13102042505624,35.111522216177505,101.163,99.644,116.95,111.749,111.248,121.248
2016-08-18,99.93,100.492,99.735,100.319,0,103.89052146448472,101.6694,99.44827853551527,38.204900411596135,100.492,99.735,116.95,111.749,111.248,121.248
2016-08-19,100.321,100.457,100.026,100.198,0,103.20374708561658,101.43665,99.66955291438342,37.60438470200344,100.457,100.026,116.95,111.749,111.248,121.248
2016-08-21,100.75,100.863,100.277,100.842,0,102.81217153213464,101.30395,99.79572846786536,42.76119374028315,100.863,100.277,116.95,111.749,111.248,121.248
2016-08-22,100.84,100.93,100.033,100.327,0,102.7456223996243,101.2188,99.69197760037571,39.91986132131897,100.93,100.033,116.95,111.749,111.248,121.248
2016-08-23,100.326,100.519,99.939,100.299,0,102.56650788510008,101.10885,99.65119211489993,39.76515417256984,100.519,99.939,116.95,111.749,111.248,121.248
2016-08-24,100.3,100.615,100.092,100.477,0,102.34873239602271,101.00919999999999,99.66966760397727,41.32199199726727,100.615,100.092,116.95,111.749,111.248,121.248
2016-08-25,100.475,100.614,100.3,100.48,0,102.34892269619536,100.99125000000001,99.63357730380466,41.34950596236366,100.614,100.3,116.95,111.749,111.248,121.248
