Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-01-28,108.979,109.265,108.756,109.195,0,110.58436260405632,109.53399999999999,108.48363739594366,47.07429618000817,109.265,108.756,102.816,110.186,111.975
2020-01-29,109.197,109.26,108.844,108.907,0,110.53691162452407,109.5545,108.57208837547594,41.65550270637067,109.26,108.844,102.816,110.186,111.975
2020-01-30,108.905,109.136,108.583,109.087,0,110.426619846176,109.5932,108.759780153824,45.85091446421592,109.136,108.583,102.816,110.186,111.975
2020-01-31,109.087,109.102,108.308,108.308,0,110.54188365637188,109.54785000000001,108.55381634362814,34.341691427584095,109.102,108.308,102.816,110.186,111.975
2020-02-02,108.416,108.58,108.315,108.478,0,110.5922745170085,109.49430000000002,108.39632548299154,37.99924844885477,108.58,108.315,102.816,110.186,111.975
2020-02-03,108.478,108.798,108.418,108.736,0,110.60531265635049,109.45855000000002,108.31178734364954,43.17306597944661,108.798,108.418,102.816,110.186,111.975
2020-02-04,108.737,109.543,108.721,109.473,0,110.59496932313361,109.4508,108.30663067686639,54.78126888646217,109.543,108.721,102.816,110.186,111.975
2020-02-05,109.473,109.965,109.303,109.955,0,110.57797367345172,109.4451,108.31222632654827,60.46869938555432,109.965,109.303,102.816,110.186,111.975
2020-02-06,109.956,110.021,109.781,109.916,0,110.58124229004343,109.44635000000001,108.31145770995658,59.81316307434204,110.021,109.781,102.816,110.186,111.975
2020-02-07,109.918,110.005,109.532,109.699,0,110.5546433455931,109.43490000000001,108.31515665440692,56.16470454419278,110.005,109.532,102.816,110.186,111.975
2020-02-09,109.686,109.878,109.561,109.734,0,110.4886406041963,109.4125,108.33635939580368,56.6242752970696,109.878,109.561,102.816,110.186,111.975
2020-02-10,109.734,109.899,109.64,109.882,0,110.4534499037502,109.40150000000001,108.34955009624983,58.6007848011089,109.899,109.64,102.816,110.186,111.975
2020-02-11,109.881,109.962,109.725,109.827,0,110.39272381555408,109.38354999999999,108.3743761844459,57.55126011597102,109.962,109.725,102.816,110.186,111.975
2020-02-12,109.827,110.133,109.802,109.86,0,110.37601533361642,109.37820000000002,108.38038466638362,58.03687609722172,110.133,109.802,102.816,110.186,111.975
2020-02-13,109.861,109.912,109.619,109.783,0,110.34162140029864,109.36715,108.39267859970136,56.41512140240328,109.912,109.619,102.816,110.186,111.975
2020-02-14,109.782,109.883,109.698,109.729,0,110.35436195102251,109.37285,108.39133804897749,55.24913276230998,109.883,109.698,102.816,110.186,111.975
2020-02-16,109.847,109.853,109.719,109.831,0,110.38685553177717,109.3874,108.38794446822283,57.054667534229274,109.853,109.719,102.816,110.186,111.975
2020-02-17,109.831,109.96,109.657,109.743,0,110.42067344690187,109.41119999999998,108.40172655309809,54.99318134922001,109.96,109.657,102.816,110.186,111.975
2020-02-18,109.743,110.111,109.663,110.027,0,110.49050439837406,109.45745,108.42439560162593,60.01444195932613,110.111,109.663,102.816,110.186,111.975
2020-02-19,110.027,111.591,110.022,111.368,0,110.87858566097962,109.5769,108.27521433902037,74.48797378837887,111.591,110.022,102.816,110.186,111.975
2020-02-20,111.368,112.224,111.344,111.975,0,111.3706231671793,109.71589999999999,108.06117683282068,78.3143554813613,112.224,111.344,102.816,110.186,111.975
2020-02-21,111.975,112.031,111.472,111.542,0,111.63782901618802,109.84765,108.05747098381198,70.22324518180912,112.031,111.472,102.816,110.186,111.975
2020-02-23,111.256,111.681,111.246,111.566,0,111.87373410673378,109.9716,108.06946589326621,70.40575324773093,111.681,111.246,102.816,110.186,111.975
2020-02-24,111.567,111.632,110.332,110.815,0,111.8700871605152,110.09694999999999,108.32381283948479,58.35311501634793,111.632,110.332,102.816,110.186,111.975
2020-02-25,110.815,110.87,109.89,110.482,0,111.81248529336789,110.19715000000001,108.58181470663213,53.94348687660313,110.87,109.89,102.816,110.186,111.975
2020-02-26,110.483,110.701,109.996,110.011,0,111.73500663114982,110.26089999999999,108.78679336885017,48.37519481010082,110.701,109.996,102.816,110.186,111.975
2020-02-27,110.011,110.347,108.91,108.952,0,111.78041219868368,110.23485000000001,108.68928780131634,38.70188948501117,110.347,108.91,102.816,110.186,111.975
2020-02-28,108.952,109.063,107.51,107.994,0,111.96407278751693,110.1368,108.30952721248306,32.39172745660663,109.063,107.51,102.816,110.186,111.975
2020-03-01,107.434,108.371,107.369,108.124,0,112.0738562214643,110.0472,108.02054377853571,33.96514538727256,108.371,107.369,102.816,110.186,111.975
