timestamp,strategy,signal,entry_price,stop_loss,take_profit,lot_size,risk_amount
2024-01-15 21:30:00,core,-1,146.115,10,30,0.2,45000.0
2024-01-02 18:15:00,aggressive,1,142.099,5,10,0.12,45000.0
2024-01-03 09:15:00,aggressive,1,143.244,5,10,0.12,45000.0
2024-01-03 10:00:00,aggressive,1,143.205,5,10,0.12,45000.0
2024-01-03 10:45:00,aggressive,1,143.599,5,10,0.12,45000.0
2024-01-03 17:30:00,aggressive,-1,143.168,5,10,0.12,45000.0
2024-01-03 18:15:00,aggressive,-1,143.058,5,10,0.12,45000.0
2024-01-03 19:00:00,aggressive,-1,142.91,5,10,0.12,45000.0
2024-01-04 08:30:00,aggressive,1,144.512,5,10,0.12,45000.0
2024-01-04 09:15:00,aggressive,1,144.739,5,10,0.12,45000.0
2024-01-04 17:30:00,aggressive,-1,144.557,5,10,0.12,45000.0
2024-01-04 18:15:00,aggressive,1,144.713,5,10,0.12,45000.0
2024-01-05 10:00:00,aggressive,-1,144.071,5,10,0.12,45000.0
2024-01-05 10:45:00,aggressive,-1,144.127,5,10,0.12,45000.0
2024-01-05 16:00:00,aggressive,1,144.756,5,10,0.12,45000.0
2024-01-07 17:30:00,aggressive,-1,144.519,5,10,0.12,45000.0
2024-01-08 10:00:00,aggressive,-1,144.118,5,10,0.12,45000.0
2024-01-08 10:45:00,aggressive,-1,143.935,5,10,0.12,45000.0
2024-01-08 11:30:00,aggressive,-1,143.803,5,10,0.12,45000.0
2024-01-08 16:45:00,aggressive,1,144.223,5,10,0.12,45000.0
2024-01-08 19:45:00,aggressive,-1,143.928,5,10,0.12,45000.0
2024-01-09 09:15:00,aggressive,-1,143.802,5,10,0.12,45000.0
2024-01-09 11:30:00,aggressive,1,144.429,5,10,0.12,45000.0
2024-01-09 17:30:00,aggressive,-1,144.435,5,10,0.12,45000.0
2024-01-09 18:15:00,aggressive,-1,144.37,5,10,0.12,45000.0
2024-01-09 19:45:00,aggressive,1,144.532,5,10,0.12,45000.0
2024-01-10 09:15:00,aggressive,1,145.346,5,10,0.12,45000.0
2024-01-10 10:00:00,aggressive,1,145.526,5,10,0.12,45000.0
2024-01-10 10:45:00,aggressive,1,145.613,5,10,0.12,45000.0
2024-01-10 11:30:00,aggressive,1,145.786,5,10,0.12,45000.0
2024-01-10 19:45:00,aggressive,-1,145.481,5,10,0.12,45000.0
2024-01-11 09:15:00,aggressive,1,146.066,5,10,0.12,45000.0
2024-01-11 16:45:00,aggressive,-1,145.273,5,10,0.12,45000.0
2024-01-11 18:15:00,aggressive,-1,145.032,5,10,0.12,45000.0
2024-01-12 09:15:00,aggressive,-1,144.561,5,10,0.12,45000.0
2024-01-12 10:00:00,aggressive,-1,144.436,5,10,0.12,45000.0
2024-01-14 18:15:00,aggressive,1,145.044,5,10,0.12,45000.0
2024-01-14 19:00:00,aggressive,1,145.15,5,10,0.12,45000.0
2024-01-15 17:30:00,aggressive,-1,145.74,5,10,0.12,45000.0
2024-01-14 18:00:00,core,-1,144.998,10,30,0.2,45000.0
2024-01-14 18:15:00,core,-1,145.044,10,30,0.2,45000.0
2024-01-14 18:45:00,core,-1,145.148,10,30,0.2,45000.0
2024-01-14 19:00:00,core,-1,145.15,10,30,0.2,45000.0
2024-01-14 19:15:00,core,-1,145.175,10,30,0.2,45000.0
2024-01-15 00:45:00,core,-1,145.271,10,30,0.2,45000.0
2024-01-15 02:00:00,core,-1,145.432,10,30,0.2,45000.0
2024-01-15 02:15:00,core,-1,145.449,10,30,0.2,45000.0
2024-01-15 04:00:00,core,-1,145.539,10,30,0.2,45000.0
2024-01-15 04:30:00,core,-1,145.657,10,30,0.2,45000.0
2024-01-15 04:45:00,core,-1,145.663,10,30,0.2,45000.0
2024-01-15 05:00:00,core,-1,145.758,10,30,0.2,45000.0
2024-01-15 07:15:00,core,-1,145.87,10,30,0.2,45000.0
2024-01-15 17:00:00,core,1,145.707,10,30,0.2,45000.0
2024-01-15 19:00:00,core,1,145.604,10,30,0.2,45000.0
2024-01-15 21:15:00,core,-1,146.101,10,30,0.2,45000.0
2024-01-15 21:30:00,core,-1,146.115,10,30,0.2,45000.0
2024-01-16 03:30:00,core,-1,146.474,10,30,0.2,45000.0
2024-01-16 04:30:00,core,-1,146.587,10,30,0.2,45000.0
2024-01-16 05:30:00,core,-1,146.713,10,30,0.2,45000.0
2024-01-16 12:00:00,core,-1,147.218,10,30,0.2,45000.0
2024-01-16 12:15:00,core,-1,147.23,10,30,0.2,45000.0
2024-01-16 17:30:00,core,1,147.111,10,30,0.2,45000.0
2024-01-16 17:45:00,core,1,147.104,10,30,0.2,45000.0
2024-01-16 19:00:00,core,-1,147.405,10,30,0.2,45000.0
2024-01-16 19:15:00,core,-1,147.433,10,30,0.2,45000.0
2024-01-17 00:30:00,core,-1,147.643,10,30,0.2,45000.0
2024-01-17 00:45:00,core,-1,147.579,10,30,0.2,45000.0
2024-01-17 01:00:00,core,-1,147.796,10,30,0.2,45000.0
