Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-02-16,78.428,79.169,78.408,79.056,0,78.81971369083645,77.17965000000001,75.53958630916357,77.64399436497939,79.169,78.408,76.651,76.152
2012-02-17,79.055,79.605,78.973,79.541,0,79.20260693255378,77.2733,75.34399306744623,80.67583564228383,79.605,78.973,76.651,76.152
2012-02-19,79.598,79.88,79.426,79.521,0,79.55705620027865,77.40090000000001,75.24474379972136,80.19286479185416,79.88,79.426,76.651,76.152
2012-02-20,79.514,79.799,79.354,79.661,0,79.89052028988323,77.54975,75.20897971011678,81.04815154501102,79.799,79.354,76.651,76.152
2012-02-21,79.66,80.056,79.616,80.034,0,80.25639515149857,77.71849999999999,75.18060484850142,83.13735722887823,80.056,79.616,76.651,76.152
2012-02-22,80.033,80.395,79.938,80.147,0,80.55999394332859,77.91725,75.2745060566714,83.72277289688208,80.395,79.938,76.651,76.152
2012-02-23,80.148,80.367,79.846,80.316,0,80.83767428875073,78.12370000000001,75.4097257112493,84.58472460429428,80.367,79.846,76.651,76.152
2012-02-24,80.317,81.206,80.284,81.18,0,81.23927917735605,78.3751,75.51092082264395,88.06452256135674,81.206,80.284,76.651,76.152
2012-02-26,81.242,81.664,80.98,81.116,0,81.53750437065607,78.62174999999999,75.70599562934392,86.50675140195318,81.664,80.98,76.651,76.152
2012-02-27,81.117,81.176,80.007,80.291,0,81.65294324432715,78.80645000000001,75.95995675567288,69.4519780780344,81.176,80.007,76.651,76.152
2012-02-28,80.29,80.777,80.284,80.357,0,81.74507513493242,78.98675,76.22842486506758,69.96217646392233,80.777,80.284,76.651,76.152
2012-02-29,80.356,81.385,80.244,81.021,0,81.88821789817004,79.20225,76.51628210182997,74.56475079417713,81.385,80.244,76.651,76.152
2012-03-01,81.022,81.511,80.83,81.455,0,82.08617906440111,79.4235,76.7608209355989,77.04098611256973,81.511,80.83,76.651,76.152
2012-03-02,81.456,81.863,81.407,81.794,0,82.2966428221847,79.655,77.01335717781531,78.77886377780665,81.863,81.407,76.651,76.152
2012-03-04,81.761,81.858,81.507,81.564,0,82.44684117217753,79.8515,77.25615882782247,74.65019774082076,81.858,81.507,76.651,76.152
2012-03-05,81.563,81.577,81.146,81.379,0,82.49926845405467,80.04044999999999,77.58163154594531,71.4084570886167,81.577,81.146,76.651,76.152
2012-03-06,81.38,81.484,80.578,80.743,0,82.39678990716936,80.1987,78.00061009283064,61.51793682399077,81.484,80.578,76.651,76.152
2012-03-07,80.744,81.353,80.588,81.233,0,82.32967836819189,80.36654999999999,78.40342163180809,65.48444207313187,81.353,80.588,76.651,76.152
2012-03-08,81.23,81.884,81.221,81.778,0,82.38700667603631,80.53054999999999,78.67409332396367,69.27751452514558,81.884,81.221,76.651,76.152
2012-03-09,81.779,82.637,81.458,82.45,0,82.50207363276502,80.73185,78.96162636723497,73.18982524286199,82.637,81.458,76.651,76.152
2012-03-11,82.497,82.529,82.104,82.269,0,82.60753043704763,80.8925,79.17746956295237,70.58265744957463,82.529,82.104,76.651,76.152
2012-03-12,82.27,82.422,82.113,82.26,0,82.72435701101203,81.02844999999999,79.33254298898795,70.44827663669066,82.422,82.113,76.651,76.152
2012-03-13,82.263,83.204,81.958,83.114,0,82.98642133204316,81.2081,79.42977866795684,75.26128336649666,83.204,81.958,76.651,76.152
2012-03-14,83.116,84.17,83.07,84.13,0,83.47886614314929,81.43155,79.38423385685071,79.53223455767034,84.17,83.07,76.651,76.152
2012-03-15,84.129,84.13,83.187,83.277,0,83.68579006498278,81.5937,79.50160993501721,68.79389039432844,84.13,83.187,76.651,76.152
2012-03-16,83.278,83.933,83.176,83.426,0,83.88419623979814,81.75765,79.63110376020185,69.56686069714173,83.933,83.176,76.651,76.152
2012-03-18,83.386,83.56,83.346,83.467,0,84.05800550680634,81.9152,79.77239449319366,69.788617043186,83.56,83.346,76.651,76.152
2012-03-19,83.468,83.545,83.012,83.415,0,84.23680053566969,82.02695,79.81709946433031,69.10088841309873,83.545,83.012,76.651,76.152
2012-03-20,83.418,83.825,83.309,83.677,0,84.43456557264746,82.155,79.87543442735254,70.6692229690655,83.825,83.309,76.651,76.152
2012-03-21,83.676,84.086,83.127,83.192,0,84.45235940851903,82.30005,80.14774059148097,64.17559024927644,84.086,83.127,76.651,76.152
2012-03-22,83.193,83.405,82.317,82.763,0,84.38562944832267,82.42035,80.45507055167732,59.010401333301736,83.405,82.317,76.651,76.152
2012-03-23,82.764,82.893,81.966,82.346,0,84.34515765581794,82.4866,80.62804234418205,54.42499153190718,82.893,81.966,76.651,76.152
2012-03-25,82.4,82.767,82.366,82.646,0,84.34400808950525,82.54615,80.74829191049474,57.01294893132177,82.767,82.366,76.651,76.152
2012-03-26,82.647,83.028,82.551,82.871,0,84.36880015829925,82.6,80.83119984170074,58.89806701118531,83.028,82.551,76.651,76.152
2012-03-27,82.872,83.377,82.633,82.864,0,84.37117525477292,82.665,80.95882474522709,58.81165690762394,83.377,82.633,76.651,76.152
2012-03-28,82.861,83.171,82.537,82.637,0,84.32933871565523,82.7279,81.12646128434478,55.94524145170897,83.171,82.537,76.651,76.152
2012-03-29,82.638,82.727,81.823,82.035,0,84.15483982544717,82.7925,81.43016017455284,49.109349068389875,82.727,81.823,76.651,76.152
