Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1
2024-10-27,149.223,153.879,149.199,153.643,0,163.4911813916747,150.28654999999998,137.08191860832525,56.67558716409445,153.879,149.199,140.12,161.05
2024-11-03,153.642,153.865,151.598,151.818,0,162.835063520247,150.00920000000002,137.18333647975305,53.509389865119424,153.865,151.598,140.12,161.05
2024-11-10,151.819,154.708,151.283,153.57,0,161.8635288874727,149.70275,137.5419711125273,56.04789221321658,154.708,151.283,140.12,161.05
2024-11-17,153.57,156.746,153.314,154.645,0,160.6344977515107,149.3825,138.13050224848928,57.578477793898166,156.746,153.314,140.12,161.05
2024-11-24,154.646,155.886,153.279,154.095,0,159.3577541938641,149.06295,138.7681458061359,56.49449362541336,155.886,153.279,140.12,161.05
2024-12-01,154.095,154.722,149.464,150.575,0,158.1814181804595,148.6932,139.20498181954048,50.005925258188626,154.722,149.464,140.12,161.05
2024-12-08,150.575,151.228,148.646,149.891,0,156.93324703579057,148.31375,139.69425296420943,48.8322508652363,151.228,148.646,140.12,161.05
2024-12-15,149.892,153.969,149.855,153.741,0,156.97302006805816,148.32525,139.67747993194186,55.20523369328345,153.969,149.855,140.12,161.05
2024-12-22,153.741,157.924,153.159,156.577,0,158.08847266233386,148.93605,139.78362733766613,59.23317813416091,157.924,153.159,140.12,161.05
2024-12-29,156.576,158.083,156.461,157.789,0,159.350744969043,149.4657,139.580655030957,60.85324536192019,158.083,156.461,140.12,161.05
