Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2016-09-25,102.044,102.783,100.097,100.882,0,110.28089723830513,104.13250000000001,97.98410276169488,37.61077456142473,102.783,100.097,100.704
2016-10-02,100.883,101.839,100.082,101.426,0,109.58966006499855,103.7557,97.92173993500145,39.323807722753656,101.839,100.082,100.704
2016-10-09,101.426,104.157,101.245,102.859,0,108.53607404416,103.40675000000002,98.27742595584003,43.70842368552878,104.157,101.245,100.704
2016-10-16,102.86,104.634,102.849,104.209,0,106.86705699449318,103.06710000000001,99.26714300550684,47.553475669150785,104.634,102.849,100.704
2016-10-23,104.209,104.305,103.166,103.902,0,106.27351537040094,102.9099,99.54628462959904,46.77108167198219,104.305,103.166,100.704
2016-10-30,103.903,105.532,103.719,104.771,0,105.98494492700166,102.84085,99.69675507299834,49.313247050943424,105.532,103.719,100.704
2016-11-06,104.772,105.229,102.549,104.433,0,105.96628508794252,102.83485,99.70341491205748,48.34608537135408,105.229,102.549,100.704
2016-11-13,104.434,107.591,101.186,107.443,0,106.79586449262153,103.11200000000001,99.42813550737849,56.52363495837756,107.591,101.186,100.704
2016-11-20,107.451,111.182,107.398,111.06,0,108.575430468712,103.52584999999999,98.47626953128798,63.91625305180786,111.182,107.398,100.704
2016-11-27,111.059,113.898,110.267,111.841,0,110.12370253600326,104.0827,98.04169746399674,65.28872300081437,113.898,110.267,100.704
2016-12-04,111.842,114.824,111.618,113.571,0,111.79317096093735,104.48385,97.17452903906266,68.17622725475722,114.824,111.618,100.704
2016-12-11,113.564,115.615,113.13,115.536,0,113.68312444688671,104.94565,96.20817555311329,71.11536573827985,115.615,113.13,100.704
2016-12-18,115.534,118.663,114.73,117.289,0,115.85521389576232,105.68520000000001,95.5151861042377,73.46943346577262,118.663,114.73,100.704
2016-12-25,117.288,118.241,116.546,117.169,0,117.61481053867753,106.4431,95.27138946132247,73.03065903271549,118.241,116.546,100.704
