Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,resistance_level_1
2014-04-17,101.955,102.561,101.945,102.41,0,104.13924196599058,102.5608,100.98235803400942,50.629005206558276,102.561,101.945,101.264,101.156,121.533
2014-04-18,102.408,102.46,102.362,102.42,0,104.14131711090342,102.5809,101.02048288909658,50.75794293818479,102.46,102.362,101.264,101.156,121.533
2014-04-20,102.442,102.698,102.385,102.587,0,104.15055450403229,102.60305000000001,101.05554549596773,52.96702452921285,102.698,102.385,101.264,101.156,121.533
2014-04-21,102.59,102.716,102.492,102.639,0,104.13851683033342,102.59405,101.04958316966658,53.6640761665042,102.716,102.492,101.264,101.156,121.533
2014-04-22,102.638,102.684,102.405,102.54,0,104.1169146059333,102.57755,101.0381853940667,52.08150744711959,102.684,102.405,101.264,101.156,121.533
2014-04-23,102.539,102.623,102.158,102.288,0,104.04207537500622,102.5296,101.01712462499378,48.1861179504038,102.623,102.158,101.264,101.156,121.533
2014-04-24,102.287,102.636,102.079,102.351,0,103.84455175544257,102.4553,101.06604824455742,49.20889205002827,102.636,102.079,101.264,101.156,121.533
2014-04-25,102.349,102.381,101.954,102.178,0,103.5697943540221,102.3654,101.1610056459779,46.494778521619466,102.381,101.954,101.264,101.156,121.533
2014-04-27,102.184,102.194,102.038,102.138,0,103.25689627762058,102.27734999999998,101.29780372237938,45.864890491644225,102.194,102.038,101.264,101.156,121.533
2014-04-28,102.136,102.616,102.115,102.482,0,103.10949230975359,102.23745,101.3654076902464,51.90002751174609,102.616,102.115,101.264,101.156,121.533
2014-04-29,102.481,102.773,102.32,102.383,0,102.93948193891296,102.19444999999999,101.44941806108702,50.16668281748899,102.773,102.32,101.264,101.156,121.533
2014-04-30,102.384,102.648,102.021,102.269,0,102.82203218688265,102.16045,101.49886781311734,48.17159192474444,102.648,102.021,101.264,101.156,121.533
2014-05-01,102.27,102.376,102.15,102.342,0,102.838582957692,102.18045,101.52231704230799,49.55505522899962,102.376,102.15,101.264,101.156,121.533
2014-05-02,102.343,103.011,102.123,102.189,0,102.83386044699809,102.2003,101.56673955300191,46.739053347653645,103.011,102.123,101.264,101.156,121.533
2014-05-04,102.147,102.253,101.855,101.928,0,102.80616047777076,102.21549999999999,101.62483952222922,42.32096590467164,102.253,101.855,101.264,101.156,121.533
2014-05-05,101.929,102.181,101.876,102.038,0,102.7635992277348,102.23755,101.7115007722652,44.69378796179042,102.181,101.876,101.264,101.156,121.533
2014-05-06,102.037,102.061,101.489,101.601,0,102.7537808963077,102.23995,101.72611910369228,38.00481749695198,102.061,101.489,101.264,101.156,121.533
2014-05-07,101.6,101.989,101.423,101.837,0,102.75706048423177,102.2383,101.71953951576822,42.96890127012855,101.989,101.423,101.264,101.156,121.533
2014-05-08,101.838,101.852,101.452,101.68,0,102.78576373118563,102.2127,101.63963626881437,40.637685578314624,101.852,101.452,101.264,101.156,121.533
2014-05-09,101.679,101.844,101.614,101.797,0,102.79589290030454,102.20485,101.61380709969545,43.11453942369098,101.844,101.614,101.264,101.156,121.533
2014-05-11,101.872,102.04,101.789,101.963,0,102.77462718228469,102.18249999999999,101.59037281771529,46.52377644130059,102.04,101.789,101.264,101.156,121.533
2014-05-12,101.962,102.261,101.842,102.258,0,102.75767605814094,102.1744,101.59112394185907,52.02625262882506,102.261,101.842,101.264,101.156,121.533
2014-05-13,102.259,102.355,102.053,102.152,0,102.7043485680609,102.15265000000001,101.60095143193912,50.03405827775463,102.355,102.053,101.264,101.156,121.533
2014-05-14,102.151,102.185,101.656,101.831,0,102.63304472923643,102.11224999999999,101.59145527076355,44.479461588619074,102.185,101.656,101.264,101.156,121.533
2014-05-15,101.832,102.106,101.304,101.434,0,102.61766863710821,102.05695,101.49623136289179,38.74982928586223,102.106,101.304,101.264,101.156,121.533
2014-05-16,101.435,101.664,101.354,101.497,0,102.61755044780497,102.0174,101.41724955219502,40.06915598286279,101.664,101.354,101.264,101.156,121.533
2014-05-18,101.54,101.589,101.476,101.481,0,102.59671518928214,101.9739,101.35108481071786,39.834480176999534,101.589,101.476,101.264,101.156,121.533
