position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1312,aggressive_v3,SELL,2024-01-10 21:00:00,145.393,2024-01-10 21:15:00,145.484,0.68,-9.100000000000819,-6188.0000000005575,sl
1311,aggressive_v3,SELL,2024-01-10 19:45:00,145.47899999999998,2024-01-10 23:00:00,145.292,0.68,18.69999999999834,12715.999999998872,tp
1313,aggressive_v3,SELL,2024-01-11 14:30:00,145.565,2024-01-11 16:15:00,145.323,0.68,24.199999999999022,16455.999999999334,tp
1314,aggressive_v3,SELL,2024-01-11 15:45:00,145.399,2024-01-11 18:00:00,145.082,0.68,31.700000000000728,21556.000000000495,tp
1315,aggressive_v3,SELL,2024-01-11 17:00:00,145.289,2024-01-11 18:00:00,145.082,0.68,20.699999999999363,14075.999999999569,tp
1316,aggressive_v3,SELL,2024-01-11 18:15:00,145.03,2024-01-11 18:45:00,145.1,0.68,-6.999999999999318,-4759.999999999536,sl
1317,aggressive_v3,SELL,2024-01-11 22:00:00,144.921,2024-01-11 23:15:00,145.021,0.68,-9.999999999999432,-6799.999999999614,sl
1318,aggressive_v3,BUY,2024-01-12 06:45:00,145.23600000000002,2024-01-12 08:00:00,145.431,0.68,19.499999999999318,13259.999999999538,tp
1319,aggressive_v3,BUY,2024-01-12 08:00:00,145.43300000000002,2024-01-12 08:30:00,144.896,0.68,-53.700000000003456,-36516.00000000235,sl
1320,aggressive_v3,SELL,2024-01-12 09:15:00,144.559,2024-01-12 10:30:00,144.695,0.68,-13.599999999999568,-9247.999999999705,sl
1321,core_v3,SELL,2024-01-14 18:00:00,144.99599999999998,2024-01-14 18:45:00,145.148,1.02,-15.200000000001523,-15504.000000001553,sl
1322,aggressive_v3,BUY,2024-01-14 19:15:00,145.17700000000002,2024-01-14 19:30:00,145.075,0.68,-10.200000000003229,-6936.000000002196,sl
1323,core_v3,BUY,2024-01-15 19:00:00,145.60600000000002,2024-01-15 19:45:00,145.844,1.02,23.799999999997112,24275.999999997053,tp
1324,aggressive_v3,BUY,2024-01-15 21:30:00,146.11700000000002,2024-01-16 02:30:00,146.015,0.68,-10.200000000003229,-6936.000000002196,sl
1325,aggressive_v3,BUY,2024-01-16 07:30:00,146.781,2024-01-16 07:45:00,146.683,0.68,-9.800000000001319,-6664.000000000898,sl
1326,aggressive_v3,BUY,2024-01-16 11:15:00,146.89700000000002,2024-01-16 12:00:00,147.218,0.68,32.09999999999695,21827.999999997926,tp
1328,aggressive_v3,SELL,2024-01-16 17:30:00,147.10899999999998,2024-01-16 18:30:00,147.236,0.68,-12.700000000000955,-8636.00000000065,sl
1327,core_v3,BUY,2024-01-16 17:30:00,147.113,2024-01-16 19:00:00,147.405,1.02,29.20000000000016,29784.000000000164,tp
1329,aggressive_v3,BUY,2024-01-17 09:45:00,148.345,2024-01-17 10:00:00,148.143,0.68,-20.199999999999818,-13735.999999999878,sl
1330,aggressive_v3,BUY,2024-01-17 11:00:00,148.454,2024-01-17 11:30:00,148.304,0.68,-15.000000000000568,-10200.000000000386,sl
1331,aggressive_v3,SELL,2024-01-17 16:00:00,148.14499999999998,2024-01-17 19:30:00,148.23,0.68,-8.500000000000796,-5780.000000000541,sl
1332,aggressive_v3,BUY,2024-01-18 20:45:00,148.353,2024-01-18 21:15:00,148.267,0.68,-8.600000000001273,-5848.000000000866,sl
1333,core_v3,SELL,2024-01-19 09:15:00,148.29299999999998,2024-01-19 09:30:00,148.444,1.02,-15.100000000001046,-15402.000000001066,sl
1334,aggressive_v3,BUY,2024-01-19 09:15:00,148.297,2024-01-19 10:00:00,148.484,0.68,18.700000000001182,12716.000000000806,tp
1335,aggressive_v3,SELL,2024-01-21 20:30:00,147.795,2024-01-21 21:00:00,147.868,0.68,-7.30000000000075,-4964.00000000051,sl
1336,aggressive_v3,SELL,2024-01-21 21:45:00,147.745,2024-01-21 22:00:00,147.872,0.68,-12.700000000000955,-8636.00000000065,sl
1337,aggressive_v3,SELL,2024-01-22 06:30:00,147.899,2024-01-22 08:45:00,147.685,0.68,21.399999999999864,14551.999999999909,tp
1338,aggressive_v3,SELL,2024-01-22 07:45:00,147.784,2024-01-22 09:15:00,147.855,0.68,-7.099999999999795,-4827.999999999861,sl
1339,aggressive_v3,SELL,2024-01-22 09:00:00,147.70999999999998,2024-01-22 09:15:00,147.855,0.68,-14.500000000001023,-9860.000000000695,sl
1340,aggressive_v3,BUY,2024-01-22 12:45:00,147.985,2024-01-22 19:00:00,148.173,0.68,18.799999999998818,12783.999999999198,tp
1341,aggressive_v3,BUY,2024-01-23 06:15:00,148.05200000000002,2024-01-23 08:15:00,147.919,0.68,-13.300000000000978,-9044.000000000666,sl
1342,aggressive_v3,BUY,2024-01-23 07:30:00,148.042,2024-01-23 08:15:00,147.919,0.68,-12.299999999999045,-8363.99999999935,sl
1343,aggressive_v3,BUY,2024-01-23 10:00:00,148.347,2024-01-23 11:30:00,148.581,0.68,23.399999999998045,15911.999999998672,tp
1344,aggressive_v3,BUY,2024-01-23 11:15:00,148.491,2024-01-23 12:30:00,148.674,0.68,18.299999999999272,12443.999999999507,tp
1345,aggressive_v3,BUY,2024-01-23 12:30:00,148.67600000000002,2024-01-23 12:45:00,148.595,0.68,-8.100000000001728,-5508.000000001175,sl
1346,aggressive_v3,SELL,2024-01-23 20:00:00,148.04999999999998,2024-01-23 20:30:00,148.129,0.68,-7.900000000000773,-5372.000000000526,sl
1347,aggressive_v3,SELL,2024-01-23 22:30:00,147.88799999999998,2024-01-24 03:15:00,147.58,0.68,30.79999999999643,20943.999999997573,tp
1348,aggressive_v3,SELL,2024-01-24 08:30:00,146.99599999999998,2024-01-24 08:45:00,146.762,0.68,23.399999999998045,15911.999999998672,tp
1350,aggressive_v3,BUY,2024-01-24 14:45:00,147.56400000000002,2024-01-24 16:45:00,147.494,0.68,-7.00000000000216,-4760.000000001469,sl
1349,aggressive_v3,BUY,2024-01-24 13:30:00,147.45100000000002,2024-01-24 19:00:00,147.651,0.68,19.999999999998863,13599.999999999229,tp
1351,aggressive_v3,BUY,2024-01-24 19:45:00,147.729,2024-01-24 20:30:00,147.627,0.68,-10.200000000000387,-6936.000000000264,sl
1352,core_v3,BUY,2024-01-25 17:00:00,147.616,2024-01-25 18:15:00,147.525,1.02,-9.100000000000819,-9282.000000000835,sl
1353,aggressive_v3,SELL,2024-01-25 17:00:00,147.612,2024-01-25 18:30:00,147.686,0.68,-7.400000000001228,-5032.000000000835,sl
1354,aggressive_v3,SELL,2024-01-25 18:15:00,147.523,2024-01-25 18:30:00,147.686,0.68,-16.30000000000109,-11084.000000000742,sl
1355,aggressive_v3,BUY,2024-01-26 09:15:00,147.823,2024-01-26 10:00:00,148.009,0.68,18.599999999997863,12647.999999998548,tp
1356,aggressive_v3,BUY,2024-01-26 10:30:00,148.067,2024-01-26 11:15:00,147.906,0.68,-16.100000000000136,-10948.000000000093,sl
1357,aggressive_v3,BUY,2024-01-26 14:15:00,148.154,2024-01-26 14:30:00,148.075,0.68,-7.900000000000773,-5372.000000000526,sl
1358,aggressive_v3,BUY,2024-01-28 19:15:00,148.297,2024-01-28 19:45:00,148.209,0.68,-8.799999999999386,-5983.9999999995825,sl
1359,aggressive_v3,BUY,2024-01-29 07:45:00,147.96900000000002,2024-01-29 10:00:00,147.853,0.68,-11.600000000001387,-7888.000000000944,sl
1360,aggressive_v3,SELL,2024-01-29 15:15:00,147.28699999999998,2024-01-29 15:30:00,147.425,0.68,-13.800000000003365,-9384.000000002288,sl
