position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1378,aggressive_v2_5,BUY,2025-01-05 18:30:00,157.43200000000002,2025-01-05 19:00:00,157.698,0.39,26.599999999999113,10373.999999999654,tp
1379,aggressive_v2_5,SELL,2025-01-06 08:45:00,156.611,2025-01-06 09:00:00,156.795,0.39,-18.39999999999975,-7175.999999999903,sl
1380,aggressive_v2_5,BUY,2025-01-06 12:30:00,157.56,2025-01-06 13:15:00,157.448,0.39,-11.199999999999477,-4367.999999999796,sl
1381,aggressive_v2_5,BUY,2025-01-06 15:30:00,157.613,2025-01-06 16:45:00,157.523,0.39,-9.000000000000341,-3510.000000000133,sl
1382,aggressive_v2_5,BUY,2025-01-08 12:30:00,158.464,2025-01-08 14:15:00,158.364,0.39,-9.999999999999432,-3899.999999999778,sl
1383,aggressive_v2_5,BUY,2025-01-08 14:00:00,158.482,2025-01-08 14:15:00,158.364,0.39,-11.7999999999995,-4601.999999999805,sl
1384,aggressive_v2_5,SELL,2025-01-08 17:45:00,158.284,2025-01-08 19:00:00,158.118,0.39,16.59999999999968,6473.999999999876,tp
1385,aggressive_v2_5,SELL,2025-01-08 19:15:00,158.18699999999998,2025-01-08 19:30:00,158.281,0.39,-9.400000000002251,-3666.0000000008777,sl
1386,aggressive_v2_5,SELL,2025-01-08 20:45:00,158.10399999999998,2025-01-08 22:15:00,157.94,0.39,16.399999999998727,6395.999999999503,tp
1387,aggressive_v2_5,SELL,2025-01-08 23:45:00,157.92399999999998,2025-01-09 00:00:00,158.083,0.39,-15.900000000002024,-6201.000000000789,sl
1388,aggressive_v2_5,SELL,2025-01-09 08:45:00,157.654,2025-01-09 09:15:00,157.804,0.39,-15.000000000000568,-5850.000000000222,sl
1389,aggressive_v2_5,SELL,2025-01-09 17:00:00,158.069,2025-01-09 19:00:00,158.174,0.39,-10.500000000001819,-4095.0000000007094,sl
1390,aggressive_v2_5,BUY,2025-01-09 19:15:00,158.149,2025-01-09 19:45:00,157.998,0.39,-15.100000000001046,-5889.000000000407,sl
1391,aggressive_v2_5,SELL,2025-01-13 08:00:00,157.12099999999998,2025-01-13 09:30:00,157.248,0.39,-12.700000000000955,-4953.000000000373,sl
1392,aggressive_v2_5,BUY,2025-01-13 14:00:00,157.529,2025-01-13 14:30:00,157.723,0.39,19.400000000001683,7566.000000000657,tp
1393,aggressive_v2_5,BUY,2025-01-15 08:00:00,157.056,2025-01-15 08:15:00,156.974,0.39,-8.200000000002206,-3198.0000000008604,sl
1394,aggressive_v2_5,SELL,2025-01-15 15:30:00,156.46099999999998,2025-01-15 16:15:00,156.551,0.39,-9.000000000000341,-3510.000000000133,sl
1395,aggressive_v2_5,SELL,2025-01-15 20:00:00,156.114,2025-01-15 20:15:00,155.737,0.39,37.700000000000955,14703.000000000373,tp
1396,aggressive_v2_5,SELL,2025-01-16 16:15:00,155.19,2025-01-16 18:15:00,155.277,0.39,-8.699999999998909,-3392.9999999995744,sl
1397,aggressive_v2_5,BUY,2025-01-16 21:30:00,155.364,2025-01-17 00:30:00,155.684,0.39,31.999999999999318,12479.999999999734,tp
1398,aggressive_v2_5,BUY,2025-01-16 22:15:00,155.38500000000002,2025-01-17 00:30:00,155.684,0.39,29.899999999997817,11660.999999999149,tp
1399,aggressive_v2_5,SELL,2025-01-17 08:00:00,155.56,2025-01-17 08:45:00,155.685,0.39,-12.5,-4875.0,sl
1400,aggressive_v2_5,BUY,2025-01-17 11:00:00,156.179,2025-01-19 17:30:00,156.334,0.39,15.500000000000114,6045.000000000045,tp
1401,aggressive_v2_5,BUY,2025-01-19 17:45:00,156.285,2025-01-19 18:15:00,156.497,0.39,21.20000000000175,8268.000000000682,tp
1402,aggressive_v2_5,BUY,2025-01-19 18:30:00,156.39700000000002,2025-01-19 18:45:00,156.306,0.39,-9.100000000000819,-3549.0000000003192,sl
1403,aggressive_v2_5,SELL,2025-01-19 21:30:00,155.91899999999998,2025-01-19 22:45:00,155.739,0.39,17.99999999999784,7019.999999999158,tp
1404,aggressive_v2_5,BUY,2025-01-20 07:15:00,156.44,2025-01-20 07:30:00,156.353,0.39,-8.699999999998909,-3392.9999999995744,sl
1405,aggressive_v2_5,BUY,2025-01-20 08:00:00,156.416,2025-01-20 08:30:00,155.945,0.39,-47.100000000000364,-18369.000000000142,sl
1406,aggressive_v2_5,SELL,2025-01-20 15:30:00,155.614,2025-01-20 18:00:00,155.411,0.39,20.300000000000296,7917.0000000001155,tp
1407,aggressive_v2_5,SELL,2025-01-21 11:00:00,155.37199999999999,2025-01-21 11:45:00,155.493,0.39,-12.100000000000932,-4719.000000000364,sl
1409,aggressive_v2_5,BUY,2025-01-21 13:15:00,155.55100000000002,2025-01-21 16:45:00,155.471,0.39,-8.00000000000125,-3120.0000000004875,sl
1410,aggressive_v2_5,BUY,2025-01-21 14:45:00,155.556,2025-01-21 16:45:00,155.471,0.39,-8.500000000000796,-3315.00000000031,sl
1408,stable_v2_5,BUY,2025-01-21 12:30:00,155.53400000000002,2025-01-22 02:45:00,156.045,1.95,51.099999999996726,99644.99999999361,tp
1411,aggressive_v2_5,SELL,2025-01-22 17:00:00,156.397,2025-01-22 18:15:00,156.503,0.39,-10.599999999999454,-4133.999999999787,sl
1412,aggressive_v2_5,SELL,2025-01-22 19:15:00,156.35999999999999,2025-01-22 20:30:00,156.469,0.39,-10.900000000000887,-4251.000000000346,sl
